"ENTITY_ABBR","ENTITY_NAME","CRITERIATYPEAQUAHUMHLTH","CRITERIATYPEFRESHSALTWATER","CRITERIATYPE_ACUTECHRONIC","USE_CLASS_NAME_LOCATION_ETC","ATTAINS.OrganizationIdentifier","name","context2","review","ATTAINS.UseName"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","SECONDARY CONTACT","RECREATION_USE","New row: Needs Review","SECONDARY CONTACT"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","AESTHETICS","OTHER_USE","New row: Needs Review","AESTHETICS"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","INDUSTRIAL COOLING","OTHER_USE","New row: Needs Review","INDUSTRIAL COOLING"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","SECONDARY CONTACT RECREATION","RECREATION_USE","New row: Needs Review","SECONDARY CONTACT RECREATION"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","SHELLFISHING (SA OR SB)","FISHCONSUMPTION_USE","New row: Needs Review","SHELLFISHING (SA OR SB)"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","PUBLIC WATER SUPPLY","DRINKINGWATER_USE","New row: Needs Review","PUBLIC WATER SUPPLY"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","PRIMARY CONTACT","RECREATION_USE","New row: Needs Review","PRIMARY CONTACT"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","FISH CONSUMPTION","FISHCONSUMPTION_USE","New row: Needs Review","FISH CONSUMPTION"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","SHELLFISH HARVESTING","FISHCONSUMPTION_USE","New row: Needs Review","SHELLFISH HARVESTING"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","OVERALL USE","OTHER_USE","New row: Needs Review","OVERALL USE"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","AGRICULTURE","OTHER_USE","New row: Needs Review","AGRICULTURE"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","PRIMARY CONTACT RECREATION","RECREATION_USE","New row: Needs Review","PRIMARY CONTACT RECREATION"
"MA","MASSACHUSETTS","H",NA,NA,"ALL SURFACE WATERS","MA_DEP","AESTHETIC","OTHER_USE","New row: Needs Review","AESTHETIC"
"MA","MASSACHUSETTS","A","S","A","ALL SURFACE WATERS","MA_DEP","AESTHETICS","OTHER_USE","New row: Needs Review","AESTHETICS"
"MA","MASSACHUSETTS","A","S","A","ALL SURFACE WATERS","MA_DEP","INDUSTRIAL COOLING","OTHER_USE","New row: Needs Review","INDUSTRIAL COOLING"
"MA","MASSACHUSETTS","A","S","A","ALL SURFACE WATERS","MA_DEP","FISH, OTHER AQUATIC LIFE AND WILDLIFE","ECOLOGICAL_USE","New row: Needs Review","FISH, OTHER AQUATIC LIFE AND WILDLIFE"
"MA","MASSACHUSETTS","A","S","A","ALL SURFACE WATERS","MA_DEP","OVERALL USE","OTHER_USE","New row: Needs Review","OVERALL USE"
"MA","MASSACHUSETTS","A","S","A","ALL SURFACE WATERS","MA_DEP","AGRICULTURE","OTHER_USE","New row: Needs Review","AGRICULTURE"
